,player,team,comp
0,A SASANK SRIVATS ,Andhra,col_c_k_nayudu
0,AKULA VIJAY ,Andhra,col_c_k_nayudu
0,B Yeswanth,Andhra,col_c_k_nayudu
0,BHARGAV NANDI,Andhra,col_c_k_nayudu
0,Dvs Sriram,Andhra,col_c_k_nayudu
0,E Dharani Kumar,Andhra,col_c_k_nayudu
0,G Sumith,Andhra,col_c_k_nayudu
0,Gsp Teja,Andhra,col_c_k_nayudu
0,Harsha Vardhan,Andhra,col_c_k_nayudu
0,K NIKHILESHWAR,Andhra,col_c_k_nayudu
0,K Nithish Kumar Reddy,Andhra,col_c_k_nayudu
0,K Revanth Reddy ,Andhra,col_c_k_nayudu
0,K S Raju,Andhra,col_c_k_nayudu
0,K S S Jayanth,Andhra,col_c_k_nayudu
0,M Abhinav,Andhra,col_c_k_nayudu
0,M Hemanth Reddy,Andhra,col_c_k_nayudu
0,M Lekhaz ,Andhra,col_c_k_nayudu
0,M Ravi Kiran,Andhra,col_c_k_nayudu
0,M V BHAVENDRA REDDY,Andhra,col_c_k_nayudu
0,Pasam Naveen,Andhra,col_c_k_nayudu
0,R Reddy Prakash,Andhra,col_c_k_nayudu
0,S Akhil,Andhra,col_c_k_nayudu
0,S K Ismail,Andhra,col_c_k_nayudu
0,S K Rasheed,Andhra,col_c_k_nayudu
0,S Venkata Rahul,Andhra,col_c_k_nayudu
0,Saketh Ram,Andhra,col_c_k_nayudu
0,Sdnv Prasad,Andhra,col_c_k_nayudu
0,Srikar,Andhra,col_c_k_nayudu
0,Subramanyam,Andhra,col_c_k_nayudu
0,T A Hemanth Kumar,Andhra,col_c_k_nayudu
0,Teja Reddy,Andhra,col_c_k_nayudu
0,Tripurana Vijay,Andhra,col_c_k_nayudu
0,Vasu,Andhra,col_c_k_nayudu
1,AAKASH RANA,Arunachal Pradesh,col_c_k_nayudu
1,ABHISHEK THAKUR,Arunachal Pradesh,col_c_k_nayudu
1,Agrem Yun,Arunachal Pradesh,col_c_k_nayudu
1,Aman Pisa,Arunachal Pradesh,col_c_k_nayudu
1,Amarjeet Sharma ,Arunachal Pradesh,col_c_k_nayudu
1,ANKIT,Arunachal Pradesh,col_c_k_nayudu
1,Ankit Gupta,Arunachal Pradesh,col_c_k_nayudu
1,ARJUN,Arunachal Pradesh,col_c_k_nayudu
1,Ayush Kumar Singh,Arunachal Pradesh,col_c_k_nayudu
1,B Chungya,Arunachal Pradesh,col_c_k_nayudu
1,B S Kakum,Arunachal Pradesh,col_c_k_nayudu
1,Dado Tachung,Arunachal Pradesh,col_c_k_nayudu
1,DEV PATHAK,Arunachal Pradesh,col_c_k_nayudu
1,Dodum,Arunachal Pradesh,col_c_k_nayudu
1,GAUTI ,Arunachal Pradesh,col_c_k_nayudu
1,Gepal,Arunachal Pradesh,col_c_k_nayudu
1,Gollo Aga,Arunachal Pradesh,col_c_k_nayudu
1,Harinath Kumar,Arunachal Pradesh,col_c_k_nayudu
1,Jatin Vashisht,Arunachal Pradesh,col_c_k_nayudu
1,Kenni,Arunachal Pradesh,col_c_k_nayudu
1,Leki Tsering,Arunachal Pradesh,col_c_k_nayudu
1,Likha Tayam,Arunachal Pradesh,col_c_k_nayudu
1,LUCKY FARMAN KHAN,Arunachal Pradesh,col_c_k_nayudu
1,Magung ,Arunachal Pradesh,col_c_k_nayudu
1,MANISH KUMAR,Arunachal Pradesh,col_c_k_nayudu
1,Mindu Tsering,Arunachal Pradesh,col_c_k_nayudu
1,Nabam Abo,Arunachal Pradesh,col_c_k_nayudu
1,Nabam India,Arunachal Pradesh,col_c_k_nayudu
1,Nabam Kama,Arunachal Pradesh,col_c_k_nayudu
1,Nabam Takar,Arunachal Pradesh,col_c_k_nayudu
1,Nabam Totu,Arunachal Pradesh,col_c_k_nayudu
1,Nara Weshi,Arunachal Pradesh,col_c_k_nayudu
1,Nich Mima,Arunachal Pradesh,col_c_k_nayudu
1,NIKHIL,Arunachal Pradesh,col_c_k_nayudu
1,PAWAN KUMAR,Arunachal Pradesh,col_c_k_nayudu
1,PIYUSH KUMAR,Arunachal Pradesh,col_c_k_nayudu
1,Prateek Chaubey,Arunachal Pradesh,col_c_k_nayudu
1,PRINCE KUMAR,Arunachal Pradesh,col_c_k_nayudu
1,Ram,Arunachal Pradesh,col_c_k_nayudu
1,Rebi,Arunachal Pradesh,col_c_k_nayudu
1,SANTOSH,Arunachal Pradesh,col_c_k_nayudu
1,SIMRAN,Arunachal Pradesh,col_c_k_nayudu
1,SRAJAN KUMAR,Arunachal Pradesh,col_c_k_nayudu
1,SUMIT,Arunachal Pradesh,col_c_k_nayudu
1,T Muri,Arunachal Pradesh,col_c_k_nayudu
1,T Sania,Arunachal Pradesh,col_c_k_nayudu
1,Tana James,Arunachal Pradesh,col_c_k_nayudu
1,Tarum,Arunachal Pradesh,col_c_k_nayudu
1,Taying Siyum,Arunachal Pradesh,col_c_k_nayudu
1,Techi Dol,Arunachal Pradesh,col_c_k_nayudu
1,Techi Tania Tara,Arunachal Pradesh,col_c_k_nayudu
1,Teli Rade ,Arunachal Pradesh,col_c_k_nayudu
1,Tik Lee,Arunachal Pradesh,col_c_k_nayudu
1,Tnc Tassar,Arunachal Pradesh,col_c_k_nayudu
1,TOTI,Arunachal Pradesh,col_c_k_nayudu
1,Tsering,Arunachal Pradesh,col_c_k_nayudu
1,UTTAM,Arunachal Pradesh,col_c_k_nayudu
1,VIBHANSHU,Arunachal Pradesh,col_c_k_nayudu
1,YOGESH KUMAR,Arunachal Pradesh,col_c_k_nayudu
2,Abdul Ajij Kuraishi,Assam,col_c_k_nayudu
2,Abhishek Gupta  ,Assam,col_c_k_nayudu
2,AKSHAY KUMAR DEKA,Assam,col_c_k_nayudu
2,Amlanjyoti Das,Assam,col_c_k_nayudu
2,Atlaf Alam,Assam,col_c_k_nayudu
2,Bhargab Pratim Lahkar,Assam,col_c_k_nayudu
2,Bishal Roy,Assam,col_c_k_nayudu
2,Bishal Saha,Assam,col_c_k_nayudu
2,CHINTU DEKA,Assam,col_c_k_nayudu
2,Debanshu Ghosh,Assam,col_c_k_nayudu
2,Dipjyoti Saikia,Assam,col_c_k_nayudu
2,Hrishikesh Borah,Assam,col_c_k_nayudu
2,Jay Borah,Assam,col_c_k_nayudu
2,Manjeet Deka,Assam,col_c_k_nayudu
2,Mayukh Hazarika,Assam,col_c_k_nayudu
2,Nibir Deka,Assam,col_c_k_nayudu
2,Nihar Deka,Assam,col_c_k_nayudu
2,Pradyun Saikia,Assam,col_c_k_nayudu
2,Praseer Changmai,Assam,col_c_k_nayudu
2,PRITISH RAHA ROY,Assam,col_c_k_nayudu
2,Rajesh Prasad,Assam,col_c_k_nayudu
2,Rangojyoti Kharghoria,Assam,col_c_k_nayudu
2,Reshabh Dipok,Assam,col_c_k_nayudu
2,Rituraj Biswas,Assam,col_c_k_nayudu
2,Rohan Hazarika,Assam,col_c_k_nayudu
2,Rohit Sen ,Assam,col_c_k_nayudu
2,Ronit Akhter,Assam,col_c_k_nayudu
2,Roshan Topno ,Assam,col_c_k_nayudu
2,Saurav Dey,Assam,col_c_k_nayudu
